 time,energy conservation violation
   24.593999999988032      ,   2.8865798640254070E-015
   24.594499999988031      ,   3.1086244689504383E-015
   24.594999999988030      ,   3.1086244689504383E-015
   24.595499999988029      ,   2.8865798640254070E-015
   24.595999999988027      ,   3.1086244689504383E-015
   24.596499999988026      ,   3.3306690738754696E-015
   24.596999999988025      ,   2.8865798640254070E-015
   24.597499999988024      ,   3.1086244689504383E-015
   24.597999999988023      ,   2.8865798640254070E-015
   24.598499999988022      ,   2.8865798640254070E-015
   24.598999999988020      ,   3.1086244689504383E-015
   24.599499999988019      ,   3.3306690738754696E-015
   24.599999999988018      ,   2.8865798640254070E-015
   24.600499999988017      ,   3.1086244689504383E-015
   24.600999999988016      ,   3.1086244689504383E-015
   24.601499999988015      ,   2.8865798640254070E-015
   24.601999999988013      ,   2.8865798640254070E-015
   24.602499999988012      ,   2.8865798640254070E-015
   24.602999999988011      ,   2.8865798640254070E-015
   24.603499999988010      ,   2.6645352591003757E-015
   24.603999999988009      ,   2.6645352591003757E-015
   24.604499999988008      ,   2.8865798640254070E-015
   24.604999999988006      ,   2.6645352591003757E-015
   24.605499999988005      ,   2.4424906541753444E-015
   24.605999999988004      ,   2.6645352591003757E-015
   24.606499999988003      ,   2.8865798640254070E-015
   24.606999999988002      ,   2.4424906541753444E-015
   24.607499999988001      ,   2.4424906541753444E-015
   24.607999999987999      ,   2.4424906541753444E-015
   24.608499999987998      ,   2.4424906541753444E-015
   24.608999999987997      ,   2.4424906541753444E-015
   24.609499999987996      ,   2.4424906541753444E-015
   24.609999999987995      ,   2.4424906541753444E-015
   24.610499999987994      ,   2.6645352591003757E-015
   24.610999999987992      ,   2.8865798640254070E-015
   24.611499999987991      ,   2.4424906541753444E-015
   24.611999999987990      ,   2.4424906541753444E-015
   24.612499999987989      ,   2.4424906541753444E-015
   24.612999999987988      ,   2.4424906541753444E-015
   24.613499999987987      ,   2.6645352591003757E-015
   24.613999999987985      ,   2.4424906541753444E-015
   24.614499999987984      ,   2.4424906541753444E-015
   24.614999999987983      ,   2.4424906541753444E-015
   24.615499999987982      ,   2.4424906541753444E-015
   24.615999999987981      ,   2.4424906541753444E-015
   24.616499999987980      ,   2.4424906541753444E-015
   24.616999999987978      ,   2.2204460492503131E-015
   24.617499999987977      ,   2.4424906541753444E-015
   24.617999999987976      ,   2.4424906541753444E-015
   24.618499999987975      ,   2.2204460492503131E-015
   24.618999999987974      ,   2.4424906541753444E-015
   24.619499999987973      ,   2.4424906541753444E-015
   24.619999999987972      ,   2.2204460492503131E-015
   24.620499999987970      ,   2.4424906541753444E-015
   24.620999999987969      ,   2.2204460492503131E-015
   24.621499999987968      ,   2.2204460492503131E-015
   24.621999999987967      ,   2.2204460492503131E-015
   24.622499999987966      ,   2.4424906541753444E-015
   24.622999999987965      ,   2.4424906541753444E-015
   24.623499999987963      ,   2.4424906541753444E-015
   24.623999999987962      ,   2.4424906541753444E-015
   24.624499999987961      ,   2.4424906541753444E-015
   24.624999999987960      ,   2.4424906541753444E-015
   24.625499999987959      ,   2.2204460492503131E-015
   24.625999999987958      ,   2.2204460492503131E-015
   24.626499999987956      ,   2.2204460492503131E-015
   24.626999999987955      ,   2.2204460492503131E-015
   24.627499999987954      ,   1.7763568394002505E-015
   24.627999999987953      ,   1.5543122344752192E-015
   24.628499999987952      ,   1.5543122344752192E-015
